Score, Hidden_nodes, Epochs, Batch_size, Learning_rate
0.34444, 100, 10, 0, 0.50000
0.66667, 100, 10, 0, 0.01000
0.66667, 100, 10, 0, 0.10000
0.66667, 100, 10, 300, 0.10000
0.66667, 100, 10, 50, 0.10000
0.66667, 100, 10, 300, 0.50000
0.66667, 100, 10, 50, 0.01000
0.66667, 100, 10, 300, 1.00000
0.94444, 100, 10, 50, 0.50000
0.66667, 100, 10, 300, 0.01000
0.88889, 100, 10, 50, 1.00000
0.66667, 100, 10, 0, 1.00000
0.66667, 100, 10, 1, 1.00000
0.66667, 100, 10, 1, 0.50000
0.97778, 100, 10, 1, 0.10000
0.66667, 100, 10, 1, 0.01000
0.66667, 100, 20, 0, 0.01000
0.43333, 100, 20, 0, 0.50000
0.66667, 100, 20, 0, 0.10000
0.66667, 100, 20, 300, 0.10000
0.66667, 100, 20, 300, 0.50000
0.66667, 100, 20, 50, 0.10000
0.66667, 100, 20, 50, 0.01000
0.90000, 100, 20, 50, 1.00000
0.66667, 100, 20, 300, 1.00000
0.87778, 100, 20, 50, 0.50000
0.66667, 100, 20, 300, 0.01000
0.66667, 100, 20, 0, 1.00000
0.66667, 100, 20, 1, 1.00000
0.91111, 100, 20, 1, 0.50000
0.98889, 100, 20, 1, 0.10000
0.67778, 100, 20, 1, 0.01000
0.66667, 250, 10, 0, 0.10000
0.66667, 250, 10, 50, 0.01000
0.66667, 250, 10, 300, 1.00000
0.66667, 250, 10, 0, 0.01000
0.66667, 250, 10, 0, 0.50000
0.66667, 250, 10, 300, 0.01000
0.66667, 250, 10, 300, 0.50000
0.66667, 250, 10, 300, 0.10000
0.97778, 250, 10, 50, 1.00000
0.78889, 250, 10, 50, 0.50000
0.67778, 250, 10, 50, 0.10000
0.33333, 250, 10, 0, 1.00000
0.74444, 250, 10, 1, 0.01000
0.98889, 250, 10, 1, 0.10000
0.67778, 250, 10, 1, 0.50000
0.66667, 250, 10, 1, 1.00000
0.71111, 100, 50, 0, 0.50000
0.66667, 100, 50, 0, 0.01000
0.66667, 100, 50, 0, 0.10000
0.66667, 250, 20, 0, 0.10000
0.66667, 100, 50, 300, 0.50000
0.66667, 100, 50, 50, 0.10000
0.66667, 100, 50, 300, 0.10000
0.80000, 100, 50, 50, 1.00000
0.66667, 100, 50, 50, 0.01000
0.66667, 250, 20, 50, 0.01000
0.66667, 100, 50, 300, 1.00000
0.66667, 250, 20, 0, 0.01000
0.83333, 100, 50, 50, 0.50000
0.33333, 250, 20, 0, 0.50000
0.66667, 250, 20, 300, 1.00000
0.66667, 250, 20, 300, 0.01000
0.66667, 100, 50, 300, 0.01000
0.66667, 500, 10, 0, 1.00000
0.66667, 250, 20, 300, 0.50000
0.74444, 250, 20, 50, 0.50000
0.66667, 250, 20, 300, 0.10000
0.85556, 250, 20, 50, 1.00000
0.66667, 500, 10, 50, 0.01000
0.66667, 500, 10, 300, 0.50000
0.66667, 500, 10, 300, 0.10000
0.92222, 250, 20, 50, 0.10000
0.66667, 500, 10, 300, 1.00000
0.66667, 500, 10, 0, 0.50000
0.86667, 500, 10, 50, 1.00000
0.67778, 500, 10, 50, 0.50000
0.77778, 100, 50, 0, 1.00000
0.66667, 500, 10, 300, 0.01000
0.34444, 500, 10, 0, 0.10000
0.86667, 500, 10, 50, 0.10000
0.66667, 500, 10, 0, 0.01000
0.66667, 250, 20, 0, 1.00000
0.71111, 100, 50, 1, 1.00000
0.97778, 100, 50, 1, 0.50000
0.98889, 100, 50, 1, 0.10000
0.98889, 250, 20, 1, 0.01000
0.98889, 250, 20, 1, 0.10000
0.98889, 100, 50, 1, 0.01000
0.94444, 250, 20, 1, 0.50000
0.68889, 250, 20, 1, 1.00000
0.94444, 500, 10, 1, 0.50000
0.66667, 500, 10, 1, 1.00000
0.98889, 500, 10, 1, 0.10000
0.98889, 500, 10, 1, 0.01000
0.66667, 100, 75, 0, 0.50000
0.66667, 100, 75, 0, 0.01000
0.66667, 100, 75, 0, 0.10000
0.66667, 100, 75, 300, 0.50000
0.66667, 100, 75, 300, 0.10000
0.85556, 100, 75, 50, 1.00000
0.73333, 100, 75, 50, 0.10000
0.66667, 100, 75, 300, 1.00000
0.66667, 100, 75, 50, 0.01000
0.90000, 100, 75, 50, 0.50000
0.66667, 100, 75, 300, 0.01000
0.66667, 100, 75, 0, 1.00000
0.98889, 100, 75, 1, 1.00000
0.98889, 100, 75, 1, 0.50000
0.98889, 100, 75, 1, 0.10000
0.98889, 100, 75, 1, 0.01000
0.33333, 500, 20, 0, 1.00000
0.66667, 500, 20, 300, 0.50000
0.66667, 500, 20, 300, 0.10000
0.66667, 500, 20, 50, 0.01000
0.66667, 500, 20, 300, 1.00000
0.66667, 500, 20, 0, 0.50000
0.66667, 500, 20, 300, 0.01000
0.85556, 500, 20, 50, 1.00000
0.70000, 500, 20, 50, 0.10000
0.74444, 500, 20, 50, 0.50000
0.66667, 1000, 10, 300, 0.01000
0.87778, 1000, 10, 50, 0.10000
0.34444, 500, 20, 0, 0.10000
0.66667, 1000, 10, 0, 0.01000
0.66667, 500, 20, 0, 0.01000
0.66667, 1000, 10, 300, 0.50000
0.66667, 1000, 10, 300, 0.10000
0.66667, 1000, 10, 50, 0.01000
0.66667, 1000, 10, 300, 1.00000
0.66667, 1000, 10, 0, 0.50000
0.66667, 1000, 10, 50, 0.50000
0.66667, 1000, 10, 0, 0.10000
0.66667, 1000, 10, 0, 1.00000
0.81111, 1000, 10, 50, 1.00000
0.66667, 250, 50, 0, 0.10000
0.98889, 500, 20, 1, 0.50000
0.71111, 500, 20, 1, 1.00000
0.66667, 250, 50, 50, 0.01000
0.66667, 250, 50, 0, 0.01000
0.66667, 250, 50, 0, 0.50000
0.98889, 500, 20, 1, 0.10000
0.98889, 500, 20, 1, 0.01000
0.66667, 250, 50, 300, 0.10000
0.85556, 250, 50, 50, 0.50000
0.66667, 250, 50, 300, 1.00000
0.66667, 250, 50, 300, 0.50000
0.66667, 250, 50, 300, 0.01000
0.98889, 1000, 10, 1, 0.01000
0.98889, 1000, 10, 1, 0.10000
0.97778, 1000, 10, 1, 0.50000
0.82222, 250, 50, 50, 1.00000
0.98889, 250, 50, 50, 0.10000
0.66667, 250, 50, 0, 1.00000
0.68889, 1000, 10, 1, 1.00000
0.98889, 250, 50, 1, 0.01000
0.98889, 250, 50, 1, 0.10000
0.90000, 250, 50, 1, 1.00000
0.98889, 250, 50, 1, 0.50000
0.66667, 250, 75, 0, 0.10000
0.66667, 250, 75, 50, 0.01000
0.66667, 250, 75, 0, 0.01000
0.66667, 250, 75, 0, 0.50000
0.66667, 250, 75, 300, 0.10000
0.88889, 250, 75, 50, 0.50000
0.66667, 250, 75, 300, 0.50000
0.66667, 250, 75, 300, 1.00000
0.66667, 250, 75, 300, 0.01000
0.87778, 250, 75, 50, 1.00000
0.98889, 250, 75, 50, 0.10000
0.66667, 250, 75, 0, 1.00000
0.66667, 1000, 20, 50, 0.10000
0.66667, 1000, 20, 300, 0.10000
0.66667, 1000, 20, 300, 0.01000
0.66667, 1000, 20, 50, 0.01000
0.66667, 1000, 20, 0, 0.01000
0.66667, 1000, 20, 300, 1.00000
0.66667, 1000, 20, 300, 0.50000
0.66667, 1000, 20, 0, 0.50000
0.70000, 1000, 20, 50, 0.50000
0.66667, 1000, 20, 0, 0.10000
0.70000, 1000, 20, 0, 1.00000
0.83333, 1000, 20, 50, 1.00000
0.98889, 250, 75, 1, 0.01000
0.98889, 250, 75, 1, 0.10000
0.90000, 250, 75, 1, 1.00000
0.97778, 250, 75, 1, 0.50000
0.66667, 500, 50, 300, 1.00000
0.66667, 500, 50, 300, 0.10000
0.66667, 500, 50, 300, 0.50000
0.66667, 500, 50, 0, 1.00000
0.84444, 500, 50, 50, 1.00000
0.66667, 500, 50, 0, 0.50000
0.66667, 500, 50, 50, 0.01000
0.98889, 1000, 20, 1, 0.50000
0.66667, 500, 50, 300, 0.01000
0.98889, 1000, 20, 1, 0.01000
0.98889, 1000, 20, 1, 0.10000
0.85556, 500, 50, 50, 0.50000
0.74444, 500, 50, 50, 0.10000
0.43333, 500, 50, 0, 0.10000
0.66667, 500, 50, 0, 0.01000
0.80000, 1000, 20, 1, 1.00000
0.94444, 500, 50, 1, 1.00000
0.98889, 500, 50, 1, 0.50000
0.98889, 500, 50, 1, 0.01000
0.98889, 500, 50, 1, 0.10000
0.66667, 500, 75, 300, 1.00000
0.66667, 500, 75, 300, 0.50000
0.66667, 500, 75, 300, 0.10000
0.87778, 500, 75, 50, 1.00000
0.66667, 500, 75, 0, 1.00000
0.66667, 500, 75, 0, 0.50000
0.66667, 500, 75, 300, 0.01000
0.66667, 500, 75, 50, 0.01000
0.92222, 500, 75, 50, 0.50000
0.66667, 500, 75, 0, 0.10000
0.92222, 500, 75, 50, 0.10000
0.66667, 500, 75, 0, 0.01000
0.98889, 500, 75, 1, 1.00000
0.97778, 500, 75, 1, 0.50000
0.98889, 500, 75, 1, 0.01000
0.98889, 500, 75, 1, 0.10000
0.66667, 1000, 50, 300, 0.10000
0.84444, 1000, 50, 50, 0.10000
0.66667, 1000, 50, 300, 1.00000
0.66667, 1000, 50, 50, 0.01000
0.66667, 1000, 50, 300, 0.50000
0.66667, 1000, 50, 300, 0.01000
0.66667, 1000, 50, 0, 0.01000
0.66667, 1000, 50, 0, 0.50000
0.85556, 1000, 50, 50, 0.50000
0.66667, 1000, 50, 0, 1.00000
0.66667, 1000, 50, 0, 0.10000
0.84444, 1000, 50, 50, 1.00000
0.98889, 1000, 50, 1, 0.50000
0.98889, 1000, 50, 1, 0.10000
0.98889, 1000, 50, 1, 0.01000
0.90000, 1000, 50, 1, 1.00000
0.66667, 1000, 75, 300, 0.10000
0.85556, 1000, 75, 50, 0.10000
0.66667, 1000, 75, 300, 1.00000
0.70000, 1000, 75, 50, 0.01000
0.66667, 1000, 75, 300, 0.50000
0.66667, 1000, 75, 300, 0.01000
0.66667, 1000, 75, 0, 0.50000
0.66667, 1000, 75, 0, 0.01000
0.66667, 1000, 75, 0, 1.00000
0.88889, 1000, 75, 50, 1.00000
0.92222, 1000, 75, 50, 0.50000
0.66667, 1000, 75, 0, 0.10000
0.97778, 1000, 75, 1, 0.50000
0.98889, 1000, 75, 1, 0.10000
0.98889, 1000, 75, 1, 0.01000
0.90000, 1000, 75, 1, 1.00000
